说明,To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,Slew Rate
测试输出,TestOut[2],Output,PIN_W17,4,B4_N0,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[1],Output,PIN_AB17,4,B4_N1,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[0],Output,PIN_AA17,4,B4_N1,3.3-V LVTTL,,TestOut[15..0],,
TxOut,TxOut,Output,PIN_U21,5,B5_N0,3.3-V LVTTL,,,,
测试输入,Xin[15],Input,PIN_V8,3,B3_N0,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[14],Input,PIN_W10,3,B3_N0,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[13],Input,PIN_Y10,3,B3_N0,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[12],Input,PIN_R10,3,B3_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[11],Input,PIN_V12,4,B4_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[10],Input,PIN_W13,4,B4_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[9],Input,PIN_Y13,4,B4_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[8],Input,PIN_V14,4,B4_N0,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[7],Input,PIN_AA4,3,B3_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[6],Input,PIN_AB4,3,B3_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[5],Input,PIN_AA5,3,B3_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[4],Input,PIN_AB5,3,B3_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[3],Input,PIN_AB8,3,B3_N0,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[2],Input,PIN_AA10,3,B3_N0,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[1],Input,PIN_AA13,4,B4_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[0],Input,PIN_AB13,4,B4_N1,3.3-V LVTTL,,Xin[15..0],,
